S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin,Link
168,Misrikh(32),ASHOK KUMAR RAWAT,475016,33406,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2432.htm
169,Unnao(33),SWAMI SACHCHIDANAND HARI SAKSHI,616133,35818,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2433.htm
170,Lucknow(35),RAJ NATH SINGH,612709,135159,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2435.htm
171,Farrukhabad(40),MUKESH RAJPUT,487963,2678,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2440.htm
172,Kanpur(43),RAMESH AWASTHI,443055,20968,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2443.htm
173,Akbarpur(44),DEVENDRA SINGH ALIAS BHOLE SINGH,517423,44345,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2444.htm
174,Jhansi(46),ANURAG SHARMA,690316,102614,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2446.htm
175,Phulpur(51),PRAVEEN PATEL,452600,4332,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2451.htm
176,Baharaich(56),ANAND KUMAR,518802,64227,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2456.htm
177,Kaiserganj(57),KARAN BHUSHAN SINGH,571263,148843,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2457.htm
178,Gonda(59),KIRTIVARDHAN SINGH,474258,46224,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2459.htm
179,Domariyaganj(60),JAGDAMBIKA PAL,463303,42728,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2460.htm
180,Maharajganj(63),PANKAJ CHAUDHARY,591310,35451,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2463.htm
181,Gorakhpur(64),RAVINDRA SHUKLA ALIAS RAVI KISHAN,585834,103526,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2464.htm
182,Kushi Nagar(65),VIJAY KUMAR DUBAY,516345,81790,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2465.htm
183,Deoria(66),SHASHANK MANI,504541,34842,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2466.htm
184,Bansgaon(67),KAMLESH PASWAN,428693,3150,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2467.htm
185,Varanasi(77),NARENDRA MODI,612970,152513,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2477.htm
186,Bhadohi(78),DR. VINOD KUMAR BIND,459982,44072,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2478.htm
187,Alipurduars(2),MANOJ TIGGA,695314,75447,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S252.htm
188,Jalpaiguri(3),DR JAYANTA KUMAR ROY,766568,86693,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S253.htm
189,Darjeeling(4),RAJU BISTA,679331,178525,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S254.htm
190,Raiganj(5),KARTICK CHANDRA PAUL,560897,68197,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S255.htm
191,Balurghat(6),SUKANTA MAJUMDAR,574996,10386,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S256.htm
192,Maldaha Uttar(7),KHAGEN MURMU,527023,77708,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S257.htm
193,Ranaghat(13),JAGANNATH SARKAR,782396,186899,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2513.htm
194,Bangaon(14),SHANTANU THAKUR,719505,73693,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2514.htm
195,Tamluk(30),ABHIJIT GANGOPADHYAY,765584,77733,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2530.htm
196,Kanthi(31),ADHIKARI SOUMENDU,763195,47764,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2531.htm
197,Purulia(35),JYOTIRMAY SINGH MAHATO,578489,17079,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2535.htm
198,Bishnupur(37),KHAN SAUMITRA,680130,5567,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S2537.htm
199,SURGUJA(1),CHINTAMANI MAHARAJ,713200,64822,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S261.htm
200,RAIGARH(2),RADHESHYAM RATHIYA,808275,240391,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S262.htm
201,JANJGIR-CHAMPA(3),KAMLESH JANGDE,678199,60000,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S263.htm
202,BILASPUR(5),TOKHAN SAHU,724937,164558,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S265.htm
